approve,decision,category,confidence,Year,Reference,Sample_type,Platform,Platform_class,Study_population,N_proteins,N_samples,N_cis_pQTL,N_trans_pQTL,N_pQTL_total,PMID,DOI,PubMed_url,DOI_url,journal,snippet,notes,overlap_flag
,borderline,primary_pgwas,medium,2025,"Ben-Eghan et al., medRxiv 2025",Plasma,"Olink (UKB-PPP, 2923 proteins)",PEA (Olink),"UK Biobank EUR (45,486), AFR (1,336), CSA (934)",2923,"52,706","2,162 cis-vQTLs for 781 proteins",,"2,162 cis-vQTLs",,10.1101/2025.11.20.25340688,,https://doi.org/10.1101/2025.11.20.25340688,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}","We systematically mapped cis-vQTLs for 2,923 plasma proteins in 52,706 UK Biobank participants ... identifying 2,162 vQTLs (P < 5x10-8) for 781 proteins.","Genome-wide cis-variance-QTL (vQTL) mapping across ancestries on reused UKB-PPP Olink measurements; pGWAS-adjacent (vQTL, not mean pQTL) and no de-novo measurement, hence borderline. Overlaps UKB-PPP.",
,borderline,meta_of_existing,medium,2025,"Khunsriraksakul et al., medRxiv 2025",Plasma,Olink + SomaScan (cross-platform),Multi-platform,">90,000 individuals across Olink and SomaScan cohorts",NR,>90000,,,">30,000 sentinel pQTLs",,10.1101/2025.10.06.25336803,,https://doi.org/10.1101/2025.10.06.25336803,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}","We performed a large-scale cross-platform meta-analysis of plasma proteomics, integrating data from over 90,000 individuals across Olink and SomaScan platforms... This effort identified >30,000 sentinel pQTLs.","Cross-platform MTAG meta-analysis/integration of existing Olink (likely UKB-PPP) and SomaScan (likely deCODE) data plus PWAS resource; no de-novo measurement. Massive pQTL output but reuses published measurements - meta_of_existing, flagged borderline; likely overlaps UKB-PPP/deCODE.",
,borderline,primary_pgwas,medium,2024,"Yi et al., Sci Data 2024",Brain/CSF/Plasma,SomaScan (aptamer),Aptamer (SomaScan),Knight ADRC / multi-tissue cohort (European),1300,NR,,,38 brain / 150 CSF / 95 plasma genomic regions,38627416,10.1038/s41597-024-03140-3,https://pubmed.ncbi.nlm.nih.gov/38627416/,https://doi.org/10.1038/s41597-024-03140-3,Scientific data,"We previously performed and identified tissue-specific protein quantitative trait loci in brain, cerebrospinal fluid, and plasma ... We identified 38 genomic regions associated with 43 proteins in brain, 150 ... in cerebrospinal fluid, and 95 ... in plasma.","Atlas/imputation update (TOPMed) of a previously measured SomaScan proteome rather than new de-novo measurement; performs a real multi-tissue pQTL scan with novel loci, hence borderline.",
,borderline,primary_pgwas,medium,2024,"Krishna et al., Nat Commun 2024",Plasma,Olink Explore (UKB-PPP),PEA (Olink),"UK Biobank, 45,330 Europeans + multi-ancestry replication",2940,45330,,widespread trans HLA-pQTL,504 proteins with HLA-pQTL,39085222,10.1038/s41467-024-50583-8,https://pubmed.ncbi.nlm.nih.gov/39085222/,https://doi.org/10.1038/s41467-024-50583-8,Nature communications,"we examined the effects of HLA genetic variation on the expression of 2940 plasma proteins across 45,330 Europeans in the UK Biobank ... We detected 504 proteins affected by HLA variants (HLA-pQTL).","Reuses UKB-PPP protein measurements (no de-novo measurement) but performs a genuine HLA-region pQTL scan with fine-mapping; borderline, overlaps UKB-PPP.",
,borderline,primary_pgwas,medium,2024,"Hillary et al., Nat Commun 2024",Plasma,Olink (UK Biobank Pharma Proteomics Project),PEA (Olink),"52,363 UK Biobank participants",1463,52363,,,677 independent vQTLs across 568 proteins,39187491,10.1038/s41467-024-51744-5,https://pubmed.ncbi.nlm.nih.gov/39187491/,https://doi.org/10.1038/s41467-024-51744-5,Nature communications,"vQTL association studies are performed on plasma levels of 1463 proteins in 52,363 UK Biobank participants. A set of 677 independent vQTLs are identified across 568 proteins.","Borderline: new genome-wide variance-QTL (vQTL) + GEI discovery on protein levels (pGWAS-adjacent). Protein measurements reused from UKB-PPP (Olink Explore), not measured de novo.",
,borderline,primary_pgwas,medium,2024,"Konigsberg et al., BMC Genomics 2024",Plasma,SomaScan v4.0,Aptamer (SomaScan),"COPDGene, 3173 Non-Hispanic White + African American; replication SPIROMICS",4776,3173,,,7 network QTL (nQTL) loci,39223457,10.1186/s12864-024-10619-1,https://pubmed.ncbi.nlm.nih.gov/39223457/,https://doi.org/10.1186/s12864-024-10619-1,BMC genomics,"we applied sparse multiple canonical correlation network analysis ... to 4,776 proteins assayed on the SomaScan v4.0 platform ... We next performed a genome-wide association study (GWAS) to identify variants associated with the NetSHy scores, or network quantitative trait loci (nQTLs).","De-novo SomaScan measurement in COPDGene; GWAS is on protein-network summary scores (nQTL) rather than standard per-protein pQTL, hence borderline.",
,borderline,primary_pgwas,medium,2024,"Sigurdsson et al., medRxiv 2024",Plasma,Olink and mass spectrometry (UKB-PPP + MS cohorts),Multi-platform,"UK Biobank proteomics (48,594), European; replication Olink + MS cohorts",NR,"48,594",,,138 proteins with non-linear effects (123 non-linear covariate; 15 dominance/epistasis),,10.1101/2024.07.04.24309942,,https://doi.org/10.1101/2024.07.04.24309942,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}","Applying this method to the UK Biobank proteomics cohort of 48,594 individuals, we identified 138 proteins that were regulated by non-linear effects, including ... genetic dominance and epistasis (15).","Genome-wide discovery of non-linear/dominance/epistasis pQTL effects, but on reused UKB-PPP (and MS) measurements rather than de-novo measurement; pGWAS-adjacent novel-QTL-type, hence borderline. Likely overlaps UKB-PPP/Sun 2023.",
,borderline,primary_pgwas,medium,2023,"Chen et al., Cancer Res 2023",Tumor tissue,RPPA (The Cancer Proteome Atlas),Other,TCGA patients across 31 cancer types,~350+ (TCPA RPPA panel),"NR (31 cancer types, TCGA)",,,"~100,000 pQTLs",37548539,10.1158/0008-5472.can-23-0758,https://pubmed.ncbi.nlm.nih.gov/37548539/,https://doi.org/10.1158/0008-5472.can-23-0758,Cancer research,"By taking advantage of the genotype data from The Cancer Genome Atlas and protein expression data from The Cancer Proteome Atlas, we characterized the effects of genetic variants on protein expression across 31 cancer types and identified approximately 100,000 protein quantitative trait loci (pQTL).","Borderline: genome-wide tissue pQTL discovery (~100k) on RPPA (affinity-based) — in-scope tissue proteogenomics. Protein measurements reused from TCPA/TCGA, not measured de novo; database portal (GPIP) also released.",
,borderline,primary_pgwas,low,2025,"Kutalik/Hofmeister et al., Res Sq 2025",Plasma,Olink (UKB-PPP),PEA (Olink),"UK Biobank (discovery, up to 221,062) + Estonian Biobank (replication); MoBa offspring",">2,400 protein levels",~221062 (POE-inferred),,,,,10.21203/rs.3.rs-5871891/v1,,https://doi.org/10.21203/rs.3.rs-5871891/v1,"{'publisher': 'Research Square', 'yearOfPublication': 2025}","GWAS scans in the UK Biobank for more than 60 complex traits and over 2,400 protein levels contrasting maternal and paternal effects identified over 30 novel POEs.","Parent-of-origin GWAS on >2,400 UKB-PPP protein levels (and 60 complex traits); genome-wide POE pQTL discovery but reuses UKB-PPP Olink measurements (no de-novo measurement); method/POE-focused - borderline.",
,borderline,primary_pgwas,low,2025,"Wojtas et al., medRxiv 2025",Brain/CSF,"Brain + CSF proteomics (>11,000 proteins)",Mass spec,"118 cerebrovascular-enriched brain samples; 1,104 CSF individuals",11000,1104 (CSF),,,,,10.1101/2025.10.08.25337413,,https://doi.org/10.1101/2025.10.08.25337413,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",Integrating AD genome-wide association studies and CSF protein quantitative trait loci (pQTLs) identified CRIP1 as a candidate causal protein for AD.,"De-novo brain/CSF proteome generated (118 brain, 1,104 CSF); ambiguous whether CSF pQTLs were newly mapped here or pulled from existing studies. Borderline (proteogenomics with plausible de-novo CSF pQTL); preprint (no PMID).",
